date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:36:54	50723/50723	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Jun%202025%2009:19:55%20GMT	https://www.studioolimpo.it/	C:/Users/HP/Downloads/landing%20page/www.studioolimpo.it/index.html	(from )
13:36:54	10380/10380	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2280ac38e8bf253e234f1ef9f7e21aab86%22	https://www.studioolimpo.it/robots.txt		(from )
13:36:55	105419/105419	---M-Z	200	added ('OK')	text/css	etag:%22a0f1f9da8e5dac91e50f621e5efd11c0%22	https://cdn.prod.website-files.com/6783d77212b58244ace7036d/css/studio-olimpo-e11a8f.webflow.5058991ee.css	C:/Users/HP/Downloads/landing%20page/cdn.prod.website-files.com/6783d77212b58244ace7036d/css/studio-olimpo-e11a8f.webflow.5058991ee.css	(from https://www.studioolimpo.it/)
13:36:56	904/904	---M--	200	added ('OK')	image/png	etag:%22c562843921d7e4f41f985b2e9deb4072%22	https://cdn.prod.website-files.com/6783d77212b58244ace7036d/6783d78ec9a42a48f4660781_Studio%20Olimpo_Favicon_1.png	C:/Users/HP/Downloads/landing%20page/cdn.prod.website-files.com/6783d77212b58244ace7036d/6783d78ec9a42a48f4660781_Studio%20Olimpo_Favicon_1.png	(from https://www.studioolimpo.it/)
13:36:56	7244/7244	---M--	200	added ('OK')	image/png	etag:%2278e3e791bcf3d8ffda80406c9aeeb08e%22	https://cdn.prod.website-files.com/6783d77212b58244ace7036d/6783d792c9a42a48f4660918_Studio%20Olimpo_Webclip_1.png	C:/Users/HP/Downloads/landing%20page/cdn.prod.website-files.com/6783d77212b58244ace7036d/6783d792c9a42a48f4660918_Studio%20Olimpo_Webclip_1.png	(from https://www.studioolimpo.it/)
13:36:57	44953/44953	---MCZ	200	added ('OK')	application/javascript	etag:W/%226841216f-af99%22	https://cs.iubenda.com/autoblocking/3924370.js	C:/Users/HP/Downloads/landing%20page/cs.iubenda.com/autoblocking/3924370.js	(from https://www.studioolimpo.it/)
13:36:57	1634/1634	---MCZ	200	added ('OK')	application/javascript	etag:%226853d32e-376%22	http://cdn.iubenda.com/cs/iubenda_cs.js	C:/Users/HP/Downloads/landing%20page/cdn.iubenda.com/cs/iubenda_cs.js	(from https://www.studioolimpo.it/)
13:36:58	309/309	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Apr%202025%2017:18:11%20GMT	https://unpkg.com/lenis@1.1.9/dist/lenis.css	C:/Users/HP/Downloads/landing%20page/unpkg.com/lenis@1.1.9/dist/lenis.css	(from https://www.studioolimpo.it/)
13:36:58	789/789	---M-Z	200	added ('OK')	application/javascript	etag:%221568588eb672077be320ff399233e9cd%22	https://cdn.prod.website-files.com/6783d77212b58244ace7036d%2F66ba5a08efe71070f98dd10a%2F67a9c2ffa0a2464b49112449%2F4j60sckdme-1.1.1.js	C:/Users/HP/Downloads/landing%20page/cdn.prod.website-files.com/6783d77212b58244ace7036d/66ba5a08efe71070f98dd10a/67a9c2ffa0a2464b49112449/4j60sckdme-1.1.1.js	(from https://www.studioolimpo.it/)
13:37:00	44704/44704	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Jun%202025%2009:27:35%20GMT	https://www.studioolimpo.it/about	C:/Users/HP/Downloads/landing%20page/www.studioolimpo.it/about.html	(from https://www.studioolimpo.it/)
13:37:01	58516/58516	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Jun%202025%2009:56:55%20GMT	https://www.studioolimpo.it/works	C:/Users/HP/Downloads/landing%20page/www.studioolimpo.it/works.html	(from https://www.studioolimpo.it/)
13:37:01	42710/42710	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Jun%202025%2009:56:55%20GMT	https://www.studioolimpo.it/contact	C:/Users/HP/Downloads/landing%20page/www.studioolimpo.it/contact.html	(from https://www.studioolimpo.it/)
13:37:01	27076/27076	---M--	200	added ('OK')	image/jpeg	etag:%22d3425ff5235b2aa6e74c8178cb637dd4%22	https://cdn.prod.website-files.com/6783d77212b58244ace7036d/67a5e6e541e2f034e1ecb781_StudioOlimpo_Loading_01.jpg	C:/Users/HP/Downloads/landing%20page/cdn.prod.website-files.com/6783d77212b58244ace7036d/67a5e6e541e2f034e1ecb781_StudioOlimpo_Loading_01.jpg	(from https://www.studioolimpo.it/)
13:37:02	64939/64939	---M--	200	added ('OK')	image/jpeg	etag:%22d70b57a762e0bd0c6366bfee8b94aaa5%22	https://cdn.prod.website-files.com/6783d77212b58244ace7036d/67a5e6e828d0b9d78e2aa009_StudioOlimpo_Loading_02.jpg	C:/Users/HP/Downloads/landing%20page/cdn.prod.website-files.com/6783d77212b58244ace7036d/67a5e6e828d0b9d78e2aa009_StudioOlimpo_Loading_02.jpg	(from https://www.studioolimpo.it/)
